,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets
18,20151020,11:13:26,malay,female,fat,55.0,yes,toddler,big,blue,traditional,grey,long sleeve,orange,long,clothes,6,7,yes,48.0,2.0,16.0,2.943176549,101.7346564,1.0
19,20151020,11:19:20,malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,35.0,3.0,8.0,2.915475549,101.6616564,2.0
20,20151020,11:27:26,indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,36.0,5.0,17.0,2.943831439,101.6823814,1.0
21,20151020,11:27:57,malay,male,moderate,53.0,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,15.0,3.0,19.0,2.934433738,101.7258593,1.0
22,20151020,11:28:43,malay,female,fat,38.0,yes,young,big,white,casual,red,short_sleeve,blue,long,blankets,3,7,yes,16.0,2.0,15.0,2.967766774,101.6855821,1.0
23,20151020,13:36:46,chinese,female,thin,29.0,no,toddler,small,white,casual,brown,short_sleeve,black,long,clothes,3,7,yes,54.0,3.0,10.0,2.951222745,101.7235245,3.0
24,20151020,12:10:46,chinese,female,moderate,44.0,no,no_kids,big,white,casual,yellow,short_sleeve,brown,long,clothes,5,7,no,30.0,3.0,20.0,2.939402932,101.6633933,1.0
25,20151020,13:44:03,chinese,female,moderate,42.0,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22.0,2.0,13.0,2.947776713,101.6978995,3.0
26,20151020,13:47:46,chinese,male,thin,41.0,no,no_kids,big,white,traditional,black,short_sleeve,brown,long,clothes,6,9,no,50.0,3.0,18.0,2.9662059,101.6346878,1.0
27,20151020,14:39:57,malay,male,thin,36.0,yes,young,big,red,traditional,grey,long sleeve,white,short,blankets,5,9,yes,20.0,0.0,13.0,2.966805235,101.691886,3.0
28,20151020,14:54:19,indian,male,fat,40.0,no,no_kids,big,orange,formal,black,long sleeve,blue_jeans,long,blankets,4,10,no,60.0,3.0,19.0,2.904241872,101.6693722,2.0
29,20151020,14:54:19,indian,male,thin,42.0,no,no_kids,big,blue,casual,black,short_sleeve,blue_jeans,long,clothes,6,9,no,34.0,3.0,12.0,2.953809463,101.6864277,2.0
30,20151020,15:26:05,malay,female,fat,32.0,no,no_kids,big,purple,traditional,grey,long sleeve,black,long,clothes,3,7,no,58.0,0.0,10.0,2.971703373,101.6786169,2.0
31,20151020,15:45:51,chinese,male,thin,40.0,yes,toddler,big,red,casual,yellow,short_sleeve,white,short,clothes,5,9,yes,54.0,2.0,18.0,2.925992147,101.7259705,2.0
32,20151020,15:52:41,foreigner,male,moderate,39.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,blankets,3,8,no,43.0,5.0,17.0,2.94146915,101.7094355,2.0
33,20151020,16:01:30,malay,female,fat,55.0,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,58.0,2.0,11.0,2.959500865,101.7081422,2.0
34,20151020,16:34:06,chinese,male,thin,46.0,no,no_kids,big,red,casual,purple,short_sleeve,black,long,clothes,4,7,no,56.0,1.0,15.0,2.932691012,101.6432777,2.0
35,20151020,18:14:37,malay,female,thin,46.0,no,no_kids,small,white,casual,white,short_sleeve,grey,long,clothes,6,10,no,16.0,1.0,20.0,2.943731299,101.7349606,1.0
36,20151020,18:34:26,malay,male,fat,35.0,no,no_kids,big,blue,formal,white,short_sleeve,brown,short,clothes,4,7,yes,41.0,1.0,17.0,2.932445148,101.7365378,2.0
37,20151020,18:37:46,chinese,female,thin,35.0,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31.0,3.0,9.0,2.938365035,101.7021395,2.0
38,20151020,18:48:34,malay,female,moderate,41.0,no,toddler,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,38.0,5.0,9.0,2.961409415,101.6954655,3.0
39,20151020,18:57:46,malay,female,fat,31.0,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,51.0,4.0,18.0,2.909508314,101.7448743,2.0
40,20151020,18:57:46,malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,23.0,1.0,18.0,2.920341513,101.7127793,3.0
41,20151020,20:09:18,malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,blankets,4,8,no,37.0,5.0,12.0,2.938475943,101.6852813,1.0
42,20151020,20:21:03,malay,female,moderate,33.0,no,toddler,big,pink,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,15.0,0.0,14.0,2.920208022,101.7141611,1.0
43,20151020,20:21:03,malay,female,fat,51.0,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,60.0,2.0,18.0,2.911034456,101.7459985,2.0
44,20151020,20:21:03,foreigner,female,moderate,46.0,no,no_kids,small,green,formal,grey,long sleeve,black,long,blankets,3,7,no,53.0,2.0,11.0,2.962275698,101.6918951,1.0
45,20151020,20:32:37,malay,female,moderate,51.0,no,no_kids,big,blue,casual,red,long sleeve,red,long,clothes,6,8,no,35.0,5.0,21.0,2.932841078,101.6624616,2.0
46,20151020,20:44:46,indian,male,fat,40.0,no,no_kids,big,black,casual,red,short_sleeve,black,short,clothes,5,7,no,50.0,5.0,14.0,2.938229596,101.7328228,1.0
47,20151020,20:48:32,malay,female,fat,28.0,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,39.0,2.0,11.0,2.922380929,101.687864,1.0
48,20151020,21:39:30,indian,male,moderate,49.0,no,no_kids,big,red,casual,brown,short_sleeve,blue_jeans,short,clothes,4,8,no,31.0,3.0,14.0,2.919551168,101.668476,3.0
49,20151020,21:44:10,indian,male,fat,48.0,no,no_kids,big,red,formal,black,short_sleeve,blue,short,clothes,5,10,yes,32.0,5.0,11.0,2.916453312,101.7460087,2.0
50,20151020,21:05:59,malay,female,fat,40.0,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,24.0,1.0,16.0,2.943119223,101.7154266,2.0
51,20151020,22:04:52,indian,female,fat,42.0,no,no_kids,big,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55.0,4.0,15.0,2.91001756,101.6719134,3.0
52,20151020,22:04:52,foreigner,male,moderate,54.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,20.0,4.0,16.0,2.965581773,101.6384887,3.0
53,20151020,22:10:28,foreigner,male,moderate,38.0,no,young,big,pink,casual,black,short_sleeve,black,long,clothes,3,8,no,40.0,5.0,14.0,2.914720246,101.7026826,1.0
54,20151020,22:12:39,chinese,female,thin,39.0,no,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,15.0,2.0,13.0,2.94670685,101.727935,3.0
55,20151020,22:18:01,malay,female,thin,53.0,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,43.0,4.0,16.0,2.968579156,101.6453175,3.0
56,20151020,22:20:42,malay,male,thin,29.0,yes,toddler,big,black,traditional,white,short_sleeve,blue_jeans,long,clothes,3,10,yes,31.0,0.0,18.0,2.921287496,101.6791926,1.0
57,20151020,22:24:54,indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36.0,0.0,11.0,2.903208575,101.6367534,3.0
58,20151020,22:24:54,indian,female,fat,29.0,yes,young,small,white,formal,brown,short_sleeve,blue,long,clothes,5,8,no,56.0,4.0,21.0,2.918987501,101.6855577,1.0
59,20151020,22:37:12,malay,female,thin,50.0,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44.0,0.0,14.0,2.920738346,101.7324981,1.0
60,20151020,22:52:52,malay,female,thin,51.0,no,no_kids,small,black,casual,black,short_sleeve,grey,long,clothes,3,9,no,33.0,5.0,15.0,2.92582691,101.7381869,2.0
61,20151020,22:54:56,malay,male,thin,28.0,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,60.0,3.0,16.0,2.97132764,101.6818507,2.0
62,20151020,22:59:55,indian,female,moderate,55.0,yes,baby,big,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,60.0,5.0,14.0,2.919032094,101.6630788,1.0
63,20151020,23:08:44,indian,male,thin,33.0,no,no_kids,small,pink,casual,white,short_sleeve,black,long,clothes,5,10,no,27.0,0.0,8.0,2.957446652,101.6609054,3.0
64,20151020,23:08:44,indian,male,moderate,49.0,no,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,38.0,3.0,21.0,2.929765556,101.685258,2.0
65,20151020,23:15:42,malay,male,thin,42.0,no,no_kids,big,red,casual,brown,long sleeve,brown,long,blankets,4,8,yes,24.0,3.0,19.0,2.943371984,101.7466686,2.0
66,20151020,0:04:56,malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,26.0,2.0,16.0,2.919387484,101.6704071,2.0
67,20151021,2:17:42,indian,female,thin,30.0,no,no_kids,small,white,casual,black,short_sleeve,white,short,clothes,6,7,no,13.0,2.0,13.0,2.92153352,101.6713196,2.0
68,20151021,7:35:52,indian,female,fat,44.0,no,no_kids,small,blue,casual,blue,long sleeve,white,short,clothes,4,8,no,17.0,3.0,10.0,2.910196243,101.6711649,1.0
69,20151021,7:58:48,chinese,female,moderate,54.0,no,no_kids,big,grey,casual,blue,short_sleeve,black,long,clothes,3,7,no,53.0,0.0,14.0,2.965247798,101.6639004,3.0
70,20151021,11:21:04,chinese,female,thin,43.0,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,11.0,3.0,18.0,2.929160659,101.7405425,2.0
71,20151021,11:56:35,malay,male,thin,32.0,no,baby,big,blue,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,12.0,3.0,9.0,2.954092424,101.6897865,2.0
72,20151021,11:56:35,malay,female,moderate,29.0,no,young,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,41.0,5.0,16.0,2.957506738,101.6430859,1.0
73,20151021,12:01:57,chinese,male,thin,40.0,no,no_kids,small,white,casual,red,short_sleeve,green,long,clothes,3,9,yes,49.0,0.0,21.0,2.93563453,101.6424992,3.0
74,20151021,12:01:57,chinese,female,thin,31.0,no,young,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,25.0,1.0,10.0,2.919485995,101.6453034,3.0
75,20151021,12:32:17,malay,female,thin,31.0,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,27.0,1.0,7.0,2.92845186,101.6737553,2.0
76,20151021,12:44:01,chinese,male,thin,54.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,8,no,15.0,0.0,11.0,2.969405623,101.6598108,2.0
77,20151021,13:04:37,malay,female,thin,40.0,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,60.0,2.0,21.0,2.936189794,101.7247492,1.0
78,20151021,13:04:37,malay,male,moderate,40.0,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,54.0,4.0,21.0,2.960194395,101.7175065,2.0
79,20151021,14:18:47,chinese,female,fat,45.0,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,50.0,5.0,7.0,2.923278148,101.6872035,2.0
80,20151021,14:30:07,malay,female,moderate,38.0,yes,toddler,big,white,casual,grey,long sleeve,black,long,clothes,3,7,no,12.0,1.0,7.0,2.916170107,101.650825,1.0
81,20151021,14:32:50,malay,female,moderate,48.0,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,35.0,1.0,13.0,2.933630644,101.7161121,1.0
82,20151021,14:51:37,chinese,female,thin,40.0,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,45.0,1.0,19.0,2.939977736,101.7336849,1.0
83,20151021,15:05:32,malay,female,moderate,42.0,yes,toddler,big,blue,casual,purple,long sleeve,purple,long,blankets,4,8,no,48.0,0.0,12.0,2.96126395,101.6322195,1.0
84,20151021,16:53:36,malay,female,moderate,53.0,no,no_kids,small,white,casual,blue,short_sleeve,yellow,short,clothes,4,9,yes,14.0,2.0,12.0,2.942903902,101.7007535,2.0
85,20151021,19:35:17,malay,female,fat,40.0,no,no_kids,big,yellow,traditional,brown,long sleeve,brown,long,clothes,6,8,no,15.0,0.0,17.0,2.970403509,101.6312264,1.0
86,20151021,19:35:17,malay,female,moderate,53.0,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes,26.0,5.0,16.0,2.940293857,101.6527689,2.0
87,20151021,19:35:17,indian,male,fat,49.0,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,48.0,0.0,7.0,2.906898887,101.6981818,2.0
88,20151021,21:13:41,malay,male,thin,52.0,no,no_kids,big,black,traditional,yellow,long sleeve,brown,long,clothes,6,10,no,55.0,1.0,13.0,2.957185786,101.7204164,2.0
89,20151021,21:13:41,malay,male,thin,32.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,yes,43.0,4.0,18.0,2.90526394,101.6767583,1.0
90,20151021,21:13:41,chinese,male,moderate,34.0,no,no_kids,big,blue,casual,orange,short_sleeve,red,short,clothes,5,9,yes,50.0,3.0,13.0,2.906258654,101.6578782,1.0
91,20151021,21:13:41,indian,male,thin,35.0,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,46.0,5.0,14.0,2.916636583,101.6540031,2.0
92,20151022,7:31:47,malay,female,moderate,49.0,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,46.0,3.0,14.0,2.926865293,101.6613881,1.0
93,20151022,9:19:35,malay,female,fat,33.0,yes,no_kids,big,white,formal,blue,long sleeve,black,long,clothes,5,7,no,55.0,2.0,21.0,2.970452804,101.6702865,3.0
94,20151022,9:19:35,malay,female,moderate,55.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,58.0,1.0,9.0,2.96568898,101.6499519,3.0
95,20151022,9:48:38,chinese,female,moderate,40.0,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,36.0,0.0,14.0,2.956566257,101.6357485,2.0
96,20151022,10:08:57,malay,male,moderate,55.0,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,37.0,5.0,21.0,2.935513585,101.629123,3.0
97,20151022,10:50:38,malay,female,thin,49.0,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,55.0,3.0,19.0,2.959821806,101.7412559,2.0
98,20151022,10:50:38,malay,male,thin,46.0,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,21.0,1.0,15.0,2.905601006,101.7392814,1.0
99,20151022,13:14:43,foreigner,female,moderate,41.0,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,56.0,2.0,16.0,2.957273201,101.6710524,2.0
100,20151022,13:17:51,malay,female,fat,40.0,no,no_kids,big,blue,formal,pink,long sleeve,black,long,clothes,3,7,no,36.0,3.0,17.0,2.966717465,101.6636236,3.0
101,20151022,13:17:51,malay,male,fat,41.0,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,3,10,no,29.0,5.0,15.0,2.93177387,101.6399451,1.0
102,20151022,14:38:23,malay,male,moderate,55.0,no,no_kids,small,black,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,37.0,3.0,10.0,2.949095496,101.6319816,3.0
103,20151022,15:10:04,malay,female,moderate,34.0,no,no_kids,small,blue,casual,red,short_sleeve,purple,long,clothes,4,7,no,20.0,2.0,15.0,2.937062467,101.7095382,3.0
104,20151022,15:42:25,malay,female,fat,40.0,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,30.0,0.0,7.0,2.960587491,101.6462615,2.0
105,20151022,18:42:40,indian,male,fat,44.0,no,no_kids,big,white,casual,yellow,short_sleeve,grey,short,clothes,5,7,no,25.0,2.0,14.0,2.955890826,101.7137964,1.0
106,20151022,19:48:07,chinese,male,thin,50.0,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,19.0,0.0,13.0,2.942284986,101.6978443,2.0
107,20151022,20:23:30,foreigner,male,moderate,54.0,no,no_kids,big,blue,casual,black,long sleeve,black,long,clothes,3,7,no,23.0,4.0,16.0,2.909529395,101.6997223,1.0
108,20151022,20:49:14,chinese,male,thin,40.0,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,5,8,no,46.0,4.0,9.0,2.929831259,101.7314182,3.0
109,20151022,22:10:13,malay,male,moderate,32.0,no,no_kids,big,purple,traditional,green,long sleeve,brown,short,clothes,3,9,no,50.0,3.0,9.0,2.925045336,101.6968892,3.0
110,20151022,22:52:01,malay,female,thin,32.0,no,no_kids,big,blue,casual,blue,short_sleeve,brown,short,clothes,3,9,no,59.0,4.0,7.0,2.932982259,101.7324483,1.0
111,20151022,23:18:33,indian,male,fat,47.0,no,no_kids,big,blue,casual,blue,short_sleeve,black,short,clothes,6,7,no,15.0,2.0,17.0,2.920905791,101.6378199,1.0
112,20151023,1:09:08,chinese,female,fat,30.0,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,22.0,5.0,20.0,2.955510695,101.6774643,2.0
113,20151023,1:31:55,chinese,male,fat,40.0,no,no_kids,big,yellow,casual,brown,short_sleeve,black,long,blankets,3,8,yes,50.0,5.0,15.0,2.944350333,101.6316005,3.0
114,20151023,1:52:36,indian,female,fat,39.0,no,no_kids,big,white,casual,grey,short_sleeve,black,long,blankets,3,10,no,60.0,0.0,8.0,2.969741447,101.7326093,1.0
115,20151023,2:48:52,malay,male,fat,40.0,no,no_kids,big,black,casual,blue,short_sleeve,grey,long,clothes,5,7,no,22.0,3.0,15.0,2.946782315,101.6304899,3.0
116,20151023,4:35:37,indian,male,moderate,40.0,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no,52.0,1.0,18.0,2.92958325,101.7446153,3.0
117,20151023,7:07:53,malay,female,fat,52.0,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,15.0,0.0,19.0,2.950801571,101.6475723,3.0
118,20151023,7:31:00,malay,male,fat,33.0,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no,29.0,3.0,15.0,2.935362189,101.7431844,3.0
119,20151023,10:27:02,chinese,male,thin,40.0,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes,44.0,2.0,15.0,2.940545969,101.6313899,1.0
120,20151023,11:14:22,malay,male,fat,53.0,yes,baby,big,grey,casual,red,short_sleeve,blue_jeans,long,clothes,3,9,no,58.0,4.0,13.0,2.94649583,101.6606522,3.0
121,20151023,11:17:03,malay,female,moderate,53.0,yes,toddler,big,orange,formal,pink,short_sleeve,black,long,clothes,4,7,no,23.0,3.0,7.0,2.91005925,101.6762791,2.0
122,20151023,11:54:36,indian,male,moderate,40.0,no,no_kids,small,green,formal,white,short_sleeve,black,long,clothes,3,9,no,58.0,0.0,21.0,2.942211723,101.6304912,1.0
123,20151023,11:59:37,malay,male,moderate,40.0,no,no_kids,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,53.0,1.0,8.0,2.942248354,101.6891296,3.0
124,20151023,12:00:06,malay,female,fat,52.0,no,no_kids,big,blue,traditional,black,long sleeve,black,long,clothes,6,10,no,48.0,1.0,13.0,2.958675928,101.6787285,3.0
125,20151023,12:00:06,indian,male,fat,44.0,no,no_kids,big,white,casual,black,short_sleeve,grey,long,blankets,4,10,no,19.0,5.0,15.0,2.941856911,101.7165176,2.0
126,20151023,12:00:06,malay,male,fat,40.0,yes,no_kids,big,black,casual,black,short_sleeve,black,long,clothes,3,8,no,40.0,1.0,12.0,2.965896954,101.6735648,1.0
127,20151023,12:01:53,malay,male,thin,44.0,no,no_kids,big,orange,casual,black,short_sleeve,red,short,clothes,4,8,yes,34.0,2.0,18.0,2.945227113,101.7108932,2.0
128,20151023,12:23:32,malay,female,thin,52.0,no,no_kids,big,blue,casual,brown,long sleeve,blue,short,clothes,5,8,no,23.0,4.0,16.0,2.906171995,101.7234891,2.0
129,20151023,12:57:44,malay,female,fat,39.0,no,no_kids,big,green,casual,black,short_sleeve,black,long,clothes,6,8,no,13.0,3.0,14.0,2.929545039,101.7080012,1.0
130,20151023,15:17:25,malay,female,thin,31.0,no,no_kids,big,white,casual,red,short_sleeve,blue,long,clothes,3,7,no,29.0,4.0,14.0,2.936136301,101.7118102,1.0
131,20151023,16:06:01,malay,male,thin,31.0,no,no_kids,big,white,formal,grey,long sleeve,grey,long,clothes,6,9,no,54.0,4.0,15.0,2.953809283,101.6512013,1.0
132,20151023,16:06:01,malay,female,fat,40.0,no,no_kids,big,grey,casual,grey,long sleeve,purple,long,clothes,4,9,no,36.0,2.0,14.0,2.949461681,101.729489,2.0
133,20151023,16:11:32,malay,female,thin,28.0,yes,baby,big,white,casual,blue,short_sleeve,black,long,blankets,4,9,yes,16.0,5.0,21.0,2.919622323,101.7184368,1.0
134,20151023,16:33:34,malay,female,moderate,41.0,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,11.0,1.0,9.0,2.94747878,101.7418065,2.0
135,20151023,17:31:48,malay,female,moderate,41.0,yes,toddler,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,6,10,no,28.0,3.0,14.0,2.921348541,101.646776,2.0
136,20151023,17:31:48,malay,female,fat,49.0,no,no_kids,big,blue,traditional,yellow,short_sleeve,white,long,clothes,5,9,no,41.0,0.0,20.0,2.924976939,101.6590791,1.0
137,20151023,19:47:39,chinese,female,thin,30.0,no,no_kids,small,white,casual,green,short_sleeve,blue,long,clothes,6,7,no,25.0,5.0,15.0,2.956082645,101.7154615,2.0
138,20151023,19:55:14,chinese,male,moderate,48.0,no,no_kids,big,blue,traditional,white,short_sleeve,black,short,clothes,3,9,no,19.0,4.0,13.0,2.949987021,101.6541451,1.0
139,20151023,20:08:58,chinese,female,moderate,34.0,yes,no_kids,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,5,7,no,15.0,0.0,11.0,2.963425135,101.741978,2.0
140,20151023,20:39:42,foreigner,male,thin,40.0,no,no_kids,big,brown,casual,red,long sleeve,grey,long,blankets,6,9,no,36.0,4.0,12.0,2.940328973,101.7055251,2.0
141,20151023,21:18:54,foreigner,female,thin,39.0,yes,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,11.0,1.0,20.0,2.938166689,101.6621167,2.0
142,20151023,21:51:00,malay,female,moderate,40.0,yes,toddler,big,red,casual,blue,long sleeve,black,long,blankets,4,7,no,54.0,3.0,18.0,2.923160209,101.6656603,2.0
143,20151023,22:31:34,indian,female,fat,40.0,yes,young,big,red,casual,purple,short_sleeve,orange,short,clothes,4,10,no,53.0,1.0,18.0,2.916494544,101.7354934,3.0
144,20151023,22:58:27,chinese,female,thin,42.0,no,no_kids,big,blue,casual,blue,short_sleeve,brown,long,clothes,5,9,yes,19.0,1.0,17.0,2.963186713,101.6832483,3.0
145,20151023,23:38:01,malay,female,fat,40.0,no,no_kids,big,grey,casual,blue,short_sleeve,black,long,clothes,3,7,no,43.0,5.0,14.0,2.928833077,101.7399022,1.0
146,20151024,0:18:48,chinese,male,fat,36.0,no,no_kids,big,orange,casual,brown,short_sleeve,red,short,clothes,3,9,yes,58.0,3.0,19.0,2.918699478,101.6941536,1.0
147,20151024,0:38:01,malay,female,thin,28.0,yes,baby,big,pink,casual,red,short_sleeve,grey,long,clothes,3,9,no,17.0,3.0,21.0,2.906957309,101.6511576,3.0
148,20151024,1:31:38,malay,male,fat,53.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,yes,26.0,2.0,8.0,2.945394523,101.7070453,3.0
